gene_name	C1	C2	C3	M1	M2	M3	FatBodyHet_1	FatBodyHet_2	FatBodyHet_3	FatBodyMut_1	FatBodyMut_2	FatBodyMut_3
mir-929	0	0	0	0	0	0	0	0	0	0	0	0
Vps24	459	429	507	391	624	401	181	142	150	201	337	387
MP1	574	654	617	507	858	533	2120	1941	2059	938	1013	1194
asRNA:CR46140	0	4	6	0	14	3	6	19	24	4	11	12
Suv3	623	729	649	538	1051	768	1173	1249	950	987	1007	1275
Syt14	11	26	14	8	31	18	0	0	2	0	0	2
CG9795	185	232	237	201	365	215	82	76	100	42	75	106
CG9776	718	745	702	630	1389	775	588	564	576	584	525	637
Skp2	347	349	319	300	511	388	249	288	320	264	395	292
CG14645	2	0	0	0	0	0	0	0	0	0	0	0
CG1103	242	228	249	169	294	190	64	54	72	80	113	89
hkb	1	3	1	2	3	1	0	0	0	0	0	0
CG1090	41	80	51	36	100	55	5	6	7	12	5	11
lncRNA:CR44922	65	59	44	47	81	61	2	2	0	4	0	0
Sfxn1-3	2320	2856	2338	2973	4114	2860	7617	7184	6267	5723	6144	5904
Cont	797	870	896	702	1617	1006	48	65	91	78	86	112
tub	412	446	434	441	707	479	734	669	684	854	819	912
CG14646	259	294	282	269	460	271	166	188	207	204	235	272
CG34112	98	151	122	142	231	118	0	4	3	5	11	6
asRNA:CR46139	5	1	9	2	5	6	0	1	2	1	0	6
asRNA:CR45999	22	17	22	50	76	22	2	2	2	3	4	8
CG9855	310	362	334	305	590	470	304	311	273	327	352	440
CG9853	499	545	496	541	855	575	526	483	419	446	426	613
CG14647	162	151	178	192	310	185	84	79	109	65	109	113
lncRNA:CR45187	3	5	4	12	15	5	10	7	3	3	19	30
lost	6904	7295	7169	6597	12857	8955	10216	10442	9898	12010	14600	17723
CG32944	18	23	31	26	30	23	2	1	0	8	4	1
CG31528	0	0	0	0	0	1	0	0	1	0	3	2
srl	823	916	755	499	1284	1048	1228	1185	1219	746	776	1090
CG31525	0	0	1	0	2	0	0	0	0	0	0	0
eIF3a	3604	4015	3706	3237	6072	4549	5300	5375	4528	3482	4876	5563
CG1074	321	298	356	295	471	380	291	251	184	169	209	213
asRNA:CR46138	1	0	1	1	1	0	0	0	0	0	0	0
CG9804	191	161	223	225	370	269	220	201	200	117	166	191
asRNA:CR44134	6	3	2	6	1	1	0	1	0	0	1	2
CG14650	530	567	508	417	808	493	378	377	450	323	351	407
CG31522	1022	1164	1012	967	1981	1287	645	779	527	545	415	598
asRNA:CR43629	29	22	24	28	55	30	34	37	29	81	33	47
CG31523	1764	1858	1707	1430	2508	1781	35	39	57	90	118	153
CG14651	0	1	0	0	0	0	0	0	0	0	0	0
Fip1	369	359	340	297	644	443	320	335	359	306	362	489
CG34357	58	50	38	31	78	49	2	0	2	102	86	101
CG34425	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR31526	0	0	0	0	0	0	0	0	0	0	0	0
Mur82C	0	0	0	0	0	0	0	0	0	0	0	0
CG32945	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45558	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44317	6	7	0	3	4	3	0	0	0	0	0	1
5-HT2A	9	18	18	13	24	20	0	0	0	4	1	0
lncRNA:CR45673	0	0	0	1	0	0	0	0	0	0	0	0
CG9775	830	904	840	882	1609	1139	760	839	709	1068	1092	1378
sisRNA:CR46358	0	0	0	0	0	0	0	0	0	0	0	0
MED31	151	183	186	202	321	206	111	144	127	163	163	176
slx1	15	9	11	14	35	21	13	5	14	16	19	13
Dlip2	109	137	121	124	226	142	65	57	54	47	70	77
rpk	2	2	3	4	8	1	0	3	7	5	18	5
asRNA:CR44155	0	0	0	0	0	0	0	0	0	0	0	0
Karybeta3	4003	4098	3955	4077	7396	5509	5864	6753	6051	5604	5492	6394
spartin	71	54	63	34	49	43	56	46	51	16	21	35
smash	1095	1046	1042	738	1931	1239	184	198	274	303	209	260
lncRNA:CR44156	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44157	0	0	0	2	0	1	0	0	0	0	0	2
CG33927	0	0	0	0	1	2	0	0	0	0	0	0
eIF3f1	1961	2169	2064	2665	3803	2620	2437	2683	2045	2172	2323	2682
lncRNA:CR44923	0	1	3	0	0	3	0	0	0	0	0	0
Nep2	1371	1377	1554	1042	1405	830	186	212	227	314	276	424
tacc	1041	1151	1150	876	1661	1194	675	645	761	665	603	822
asRNA:CR46137	0	0	0	1	0	0	0	0	0	0	0	1
mir-9384	0	0	0	0	0	0	0	0	0	0	0	0
atms	357	409	373	398	652	495	363	345	342	394	402	448
CG44098	376	457	378	358	608	375	5	1	0	0	0	18
CG44088	0	1	1	0	1	0	0	0	0	0	0	0
CG14655	73	61	63	78	114	102	2	0	0	0	0	1
CG17387	0	0	2	1	3	2	0	1	1	0	1	0
ctrip	1703	1746	1591	1018	2852	1806	1549	1239	1716	1691	2195	1849
Hus1-like	38	43	54	51	97	65	16	27	29	61	101	103
CG1129	479	529	498	553	982	537	400	410	353	515	636	719
BBS5	0	1	3	6	5	0	1	2	0	0	0	0
CG14657	199	237	247	186	405	228	112	132	151	84	124	153
CG14658	0	0	0	0	0	0	0	0	0	0	0	0
CG14659	0	0	0	0	0	0	0	0	0	0	0	0
opa	16	31	17	14	35	17	0	0	1	0	0	0
laf	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45580	0	0	0	0	0	0	0	0	0	0	0	0
Gnf1	268	268	273	293	462	357	199	195	259	216	229	292
Cdep	1044	1137	1061	955	1931	1180	510	448	626	349	395	338
lncRNA:CR45188	0	0	0	0	1	0	0	0	0	0	0	0
snRNA:U1:82Eb	6	0	1	1	1	1	4	0	2	0	0	1
Ubc6	1079	1151	1104	1206	1909	1293	788	871	745	923	1086	1202
CG14661	25	19	8	33	43	54	0	0	0	0	0	0
CG2016	505	442	637	78	49	50	0	0	9	0	0	0
CG1124	112	124	137	291	367	386	1	0	0	2	0	0
CG14662	2	12	10	7	18	5	0	0	0	0	0	0
asRNA:CR43478	0	0	2	0	0	0	0	0	0	0	0	0
lncRNA:CR43424	0	0	0	0	0	0	0	0	0	0	0	0
plh	0	1	1	0	3	0	0	0	0	0	0	0
lncRNA:CR45585	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR46352	0	0	0	1	0	3	0	0	0	0	0	0
lncRNA:CR43635	1	0	0	1	0	0	0	0	0	0	0	0
lncRNA:CR45588	0	1	0	0	1	2	0	0	0	0	0	0
corto	248	285	253	183	403	255	20	30	50	25	54	39
CG43131	0	0	0	0	0	0	0	0	0	0	0	0
CG12007	218	260	216	230	420	313	210	276	221	254	381	452
CG12589	0	0	0	0	0	0	0	0	0	0	0	0
dpr16	21	13	11	12	13	6	0	0	4	0	0	0
CG12590	2	1	7	6	8	3	0	0	9	0	0	0
CR46401	0	0	0	1	0	0	0	0	0	0	0	0
cno	442	516	450	273	678	474	68	74	137	89	117	135
snRNA:U4atac	0	0	0	0	0	0	0	0	0	0	0	0
Prosbeta2R2	0	0	0	0	1	0	0	2	0	0	0	0
CG1116	157	148	148	146	230	158	111	111	78	89	105	134
Sccpdh1	1086	1091	1006	1038	1835	1243	2279	2392	2089	1859	2169	2484
CG14664	0	1	3	0	1	3	0	0	0	0	0	0
Vps37B	233	195	263	221	443	299	174	158	172	191	277	309
Kat60	333	315	334	327	587	356	122	91	116	99	157	149
Mms19	401	452	421	439	878	569	415	458	506	439	518	511
rtp	3	4	2	3	7	3	0	0	0	0	0	0
CG12163	930	994	912	1197	1664	1187	395	390	484	510	446	461
CG33293	1	2	3	6	16	4	0	0	3	8	4	4
asRNA:CR44019	0	0	0	1	1	5	0	1	0	0	0	4
CG1113	1	4	3	1	3	1	0	0	0	3	0	0
CG12173	279	365	347	322	514	328	1062	1064	796	657	733	806
Hph	219	250	274	221	436	260	100	127	173	91	99	137
Tim17a2	0	0	0	0	3	1	0	0	0	0	0	0
lncRNA:CR45793	2	1	1	3	2	3	0	0	7	0	1	1
CR45033	0	1	0	0	0	0	0	0	0	0	0	0
mtd	2073	2011	1903	1682	3265	2097	411	334	547	387	570	552
CG31538	7	1	6	5	5	5	0	0	0	0	1	1
Tim17b1	0	0	0	0	4	0	0	0	0	0	0	0
CG11999	571	579	538	637	1045	574	649	669	559	656	856	765
CG1161	603	635	590	590	926	586	555	604	494	408	529	494
Prosbeta7	1800	1820	1788	2154	3380	2041	2002	2076	1771	2124	2862	3256
Cerk	260	225	203	276	446	313	111	116	119	276	260	278
lncRNA:CR44103	0	0	0	0	0	0	0	0	0	0	0	0
CG31542	0	0	0	0	0	0	0	0	0	0	0	0
CG34277	0	0	0	0	0	0	0	0	0	0	0	0
RpII18	327	328	329	352	532	391	465	428	394	397	508	485
hd	83	105	69	78	153	94	62	102	65	85	150	137
CG14667	104	95	87	108	161	96	52	57	74	164	171	181
7B2	125	182	109	195	261	199	0	0	0	55	62	61
kkv	1343	1359	1133	425	1006	935	9	6	17	4	6	9
CG14668	2	2	1	0	1	3	0	0	0	0	0	0
tRNA:Arg-TCG-4-1	0	0	0	0	0	0	0	0	0	0	0	0
CG1172	265	278	291	303	526	341	147	173	188	183	272	244
Or83a	0	0	0	0	0	1	0	0	0	0	0	0
CG2663	514	713	460	300	424	212	0	0	0	0	0	1
Orco	5	3	3	6	8	4	0	0	0	2	6	3
CG14669	58	65	42	40	68	40	89	33	84	0	0	2
CG12147	0	0	0	0	0	0	0	0	0	0	0	0
PEK	783	681	792	760	1449	879	580	551	525	1289	1613	1576
RpL35A	7589	7791	6954	10702	15101	10880	9503	10282	7541	9758	10575	10812
POLDIP2	485	509	401	565	847	616	693	807	582	618	686	1000
mRpL44	682	768	696	849	1294	916	1284	1457	1019	1063	1037	1327
Snr1	272	233	244	243	414	297	183	186	148	171	167	217
CG45100	0	0	0	0	0	0	0	0	0	0	0	0
HDAC3	0	0	0	0	0	0	0	0	0	0	0	0
Hcs	269	293	283	221	477	307	449	367	372	411	404	544
ksr	149	178	169	168	336	211	154	136	134	135	138	154
CG31550	439	487	384	445	768	518	277	395	346	459	462	610
NKCC	321	354	347	511	749	475	0	1	1	0	2	5
Nmdar1	56	66	59	43	99	90	0	0	0	1	1	0
Itp-r83A	886	970	849	478	1463	834	779	746	1413	943	948	1124
CG43845	0	0	2	0	0	2	0	0	0	0	0	0
CG2519	668	676	565	436	1202	742	275	250	358	398	398	423
mia	31	29	35	44	74	49	2	6	8	77	70	69
Pcmt	214	207	213	317	470	280	153	155	210	220	250	308
Snm1	72	67	57	51	113	86	29	9	43	52	45	33
Pi4KIIalpha	394	330	315	265	578	380	302	306	301	264	356	409
snoRNA:Pi4KIIalpha-a	1	0	1	0	0	0	0	1	0	0	0	0
asRNA:CR46136	0	0	1	1	0	0	0	0	0	0	1	0
CG14671	207	208	206	322	433	304	178	207	186	189	228	261
CG12746	578	679	619	711	976	685	410	407	368	614	541	756
CG2931	170	175	155	203	310	210	220	227	181	138	178	271
Rheb	659	626	623	754	1222	782	616	567	543	765	799	802
CRMP	489	479	518	487	870	635	27	6	23	12	8	4
CG2926	970	992	858	533	1644	1017	643	555	767	712	726	837
scaRNA:MeU4:25F-C137	0	0	0	0	0	0	0	0	0	0	0	0
Rev7	46	31	42	45	57	46	49	60	66	57	61	83
noi	320	389	378	368	674	450	378	423	371	266	402	456
Vha26	11585	11151	11008	11565	20021	13209	1880	1780	1987	2142	2043	2527
kra	11303	12208	11907	11467	18546	13782	15834	15069	14304	11391	13083	17236
snoRNA:Psi28S-3385b	3	7	5	8	9	2	0	0	5	2	0	2
snoRNA:Psi28S-3385a	4	2	5	3	5	8	5	3	3	3	1	6
snoRNA:Psi28S-3091b	1	6	2	6	13	13	2	9	1	2	1	1
snoRNA:Psi28S-3091a	2	8	8	2	10	10	1	3	2	0	0	2
snoRNA:Psi28S-3571	3	7	7	2	4	5	1	0	0	9	0	2
snoRNA:Psi28S-3186	10	6	5	3	10	8	2	1	0	2	0	4
snoRNA:Psi28S-2442b	4	3	9	4	8	6	11	5	10	0	2	7
snoRNA:Psi28S-2442a	1	4	9	3	8	6	5	1	2	0	0	0
CG1427	200	205	205	242	393	273	189	136	168	200	263	239
asl	99	108	135	90	187	112	74	63	92	63	71	139
Rga	658	717	673	636	1200	834	605	613	526	566	618	747
asRNA:ASTR	2	3	4	6	2	1	3	1	0	6	6	2
sisRNA:1	7	3	4	4	6	3	0	0	2	2	2	2
asRNA:CR46135	14	11	4	10	7	4	1	2	4	3	2	3
Atu	360	340	320	369	623	490	373	360	294	323	328	387
Spec2	188	187	163	167	245	189	34	32	29	27	33	52
CG2911	75	125	70	75	142	106	134	100	86	88	103	110
RpL13A	14180	15516	13647	18745	26986	19250	20243	21968	16135	18872	20106	21084
snoRNA:Me28S-U2134b	0	0	4	0	1	1	3	0	1	0	0	0
snoRNA:Me28S-U2134a	0	0	0	0	0	0	0	0	0	0	0	0
CG31551	0	0	0	0	0	0	0	0	0	0	0	0
CG31549	268	291	251	304	477	310	133	131	129	304	539	466
CG12171	1374	1540	1458	1904	2672	1722	2196	1942	2248	1899	2806	2344
CG31546	0	1	0	5	9	1	1	3	4	9	0	8
CG31548	1255	1287	1298	1599	2402	1498	2402	2382	1692	1403	1283	1554
CG12170	322	363	359	455	688	466	477	486	321	504	546	719
MTA1-like	654	738	727	514	1049	665	552	465	535	380	449	486
Sec23	2818	3082	2927	2917	4848	3111	3194	3474	3059	2893	3341	3382
elm	1870	1637	2012	2175	3262	2097	1040	973	996	866	1139	1147
MED27	75	92	93	107	146	95	70	67	72	89	92	107
CG2182	646	661	677	692	1177	817	477	389	381	333	365	435
asRNA:CR44093	6	3	3	6	6	2	3	3	5	3	0	9
Wdr33	381	409	398	334	675	475	365	412	459	334	398	393
asRNA:CR46134	0	0	2	1	3	1	0	0	5	2	0	2
Xe7	653	696	666	706	1302	754	367	327	406	462	464	560
Atg17	391	350	305	254	534	322	160	133	219	293	247	244
Rab23	141	125	165	116	238	130	0	3	6	4	0	0
plx	217	207	179	182	428	282	4	9	26	20	4	6
CG2104	0	0	0	0	0	0	0	0	0	0	0	0
cas	119	159	95	138	202	116	0	0	0	5	0	0
lncRNA:CR44924	0	0	0	0	0	0	0	0	0	0	0	0
CG1239	72	51	50	83	124	90	67	88	51	48	78	62
CG2100	182	204	199	173	276	191	263	281	249	190	180	257
CG1236	471	544	524	556	859	611	565	554	590	613	710	907
Sym	245	294	260	263	497	301	232	218	236	159	198	276
Madm	299	305	350	292	589	428	164	193	190	136	170	216
CG2091	190	209	197	220	395	235	153	130	158	146	132	175
Sec8	648	645	640	547	994	609	521	564	526	399	497	632
CG2082	111	109	88	106	154	120	1	2	1	8	6	6
jagn	1012	1188	1131	1078	1941	1258	1139	1035	1045	894	1040	1200
kat-60L1	8	28	16	20	35	32	0	0	3	1	0	0
Hat1	238	261	271	287	440	321	134	163	143	221	228	307
Rpn5	1718	1838	1827	1669	2962	1983	1973	1896	1674	2168	2457	2979
CG1218	133	171	153	167	280	186	136	131	128	73	128	157
CG2046	381	405	381	429	664	458	405	444	335	364	512	592
CG10979	175	155	175	117	281	215	122	68	83	90	146	138
CG11000	73	119	81	41	127	79	3	0	0	0	0	2
CG42675	103	125	125	137	216	149	0	1	3	1	0	2
Hpr1	227	194	184	264	407	279	174	175	187	163	218	216
CG46303	0	1	0	4	7	6	32	25	12	16	3	37
CG2023	129	115	137	133	245	87	72	79	75	68	105	108
dgrn	94	115	114	107	179	164	111	89	139	108	114	125
glob3	0	0	0	0	0	0	0	0	0	0	0	0
CG1208	1111	812	1076	1210	2158	1274	1	1	0	0	7	11
asRNA:CR45192	0	0	2	1	2	0	0	0	0	0	0	0
CG1213	544	375	417	731	1045	624	227	722	89	195	334	594
CG14676	0	1	0	0	2	0	0	0	0	0	0	0
CR10991	0	0	0	0	0	0	0	0	0	0	0	0
disp	176	167	135	130	238	179	59	77	106	82	93	114
CG34287	0	0	0	0	0	0	0	0	0	0	0	0
ECSIT	251	246	273	248	419	299	359	380	276	309	275	405
CG2017	191	194	187	239	368	197	125	108	127	348	429	328
asRNA:CR46133	1	3	5	6	9	6	4	0	0	1	9	9
side-III	30	46	32	24	64	42	0	2	2	14	10	9
lncRNA:CR45761	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45762	0	0	0	0	0	0	0	0	0	0	0	0
CG11373	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44925	0	0	0	0	1	1	0	0	0	0	0	2
lncRNA:CR44926	0	0	0	0	0	2	0	0	0	0	0	0
lncRNA:TS20	0	0	0	0	1	0	0	0	0	0	0	0
Obp83a	0	0	0	0	0	0	0	0	0	0	0	0
Obp83b	0	0	0	1	3	0	0	0	0	0	0	0
lncRNA:CR44927	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44928	0	0	0	0	0	0	0	0	0	0	0	0
Rm62	6712	7552	6478	7078	12096	9540	10794	10985	8027	8660	12217	14068
CG10280	43	59	19	5	21	10	1	0	0	0	0	0
CG11459	0	0	0	0	1	0	0	0	0	0	0	0
CR1075	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR46221	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44921	0	0	0	0	0	0	0	0	0	0	0	0
CG15580	0	0	0	0	0	0	0	0	0	0	0	0
Or83c	0	0	0	0	0	0	0	0	0	0	0	0
Gasp	2079	2745	1730	1047	1386	1096	11	14	88	1	6	9
lncRNA:CR44929	0	0	0	0	2	1	0	0	1	2	0	5
Obp83cd	899	1108	1054	1035	1584	1033	5275	4760	4181	3585	3419	3738
Obp83ef	29	24	31	29	38	15	108	78	91	59	82	101
Obp83g	392	331	382	582	943	904	2	1	4	0	0	5
Vha14-2	0	0	5	2	5	0	0	0	0	0	0	0
lncRNA:CR43486	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43487	0	0	0	0	0	0	0	0	0	0	0	0
CG31559	144	144	129	27	43	22	0	0	1	4	0	0
CG1077	1	3	0	0	5	5	1	0	0	3	0	4
Osi1	0	1	0	0	0	0	0	0	0	0	0	0
CR31562	0	0	0	0	0	0	0	0	0	0	0	0
NPFR	24	32	19	30	22	19	0	1	2	0	3	2
Osi24	270	286	207	35	91	36	1	1	4	0	2	3
Osi2	95	118	36	6	13	8	0	0	0	0	0	0
Osi3	0	1	0	1	0	0	0	0	0	0	0	0
Osi4	0	0	1	0	0	0	0	0	0	0	0	0
Osi5	3	12	7	0	0	0	0	0	0	0	0	0
Osi6	11743	13430	7466	48	48	12	0	0	60	0	0	0
Osi7	8634	12055	5217	92	60	23	0	1	43	0	0	0
Osi8	3	3	0	0	0	0	0	0	0	0	0	0
Osi9	3225	3918	2885	36	43	8	0	0	72	0	0	0
Osi10	8	20	5	0	5	3	0	0	0	0	0	0
Osi11	0	0	0	0	0	0	0	0	0	0	0	0
Osi12	40	37	30	10	7	5	0	0	0	0	0	0
CG15597	523	181	318	608	991	1388	1	0	0	2	0	5
CG15594	10	11	8	10	6	4	0	0	0	0	0	0
Osi13	0	1	1	0	0	0	0	0	0	0	0	0
Osi14	716	847	608	31	12	4	0	0	7	0	0	0
Osi15	4491	5197	5212	572	558	204	13	13	284	0	4	2
CG46396	139	137	107	2	1	0	0	0	0	0	0	0
Osi16	14	29	23	11	1	5	0	0	0	0	0	0
CG46026	113	155	114	5	1	0	0	0	0	0	0	0
CG31560	36	33	33	0	0	0	0	0	0	0	0	0
Osi17	387	359	275	20	60	39	0	0	1	0	0	0
Osi18	1463	1744	1193	5	17	7	0	2	49	0	0	0
Osi19	2597	2800	1762	20	22	3	0	0	84	0	0	3
Osi20	2473	2207	1752	55	68	14	0	5	100	0	0	0
CG17917	0	3	0	0	0	0	0	0	0	0	0	0
CG10298	0	0	0	1	0	0	0	0	0	0	0	0
CG17919	279	234	268	265	367	247	0	0	2	0	1	0
SmD2	576	641	633	651	1072	747	607	596	536	589	700	726
CG18048	69	64	63	90	153	92	77	84	70	52	74	117
Hr83	0	0	1	0	0	1	0	0	0	0	0	0
Pak	517	575	615	579	1078	661	164	163	247	489	472	522
CG42724	824	815	777	557	1349	877	511	494	496	474	533	667
CG10286	629	706	608	683	1128	903	981	1164	1045	709	994	997
CRAT	1424	1362	1517	1349	2210	1271	1036	755	1168	649	726	688
CG42564	10	1	4	6	7	6	1	2	1	1	11	6
snoRNA:83E4-5	0	0	0	0	0	0	0	0	0	0	0	0
CG1024	91	80	83	83	167	97	77	38	62	53	53	79
CG42537	0	0	0	0	0	0	0	0	0	0	0	0
TfIIFalpha	680	758	719	570	1131	712	684	629	558	442	535	640
gzl	451	368	405	438	805	471	315	291	345	376	413	472
Dmtn	621	712	605	467	1057	799	1197	1379	1194	1394	1059	1339
gpp	402	485	465	378	853	532	238	248	381	424	356	459
lncRNA:CR44017	0	0	0	0	1	0	0	0	0	0	0	0
CG9727	414	483	433	319	746	534	623	618	636	543	456	626
mir-9375	0	0	0	0	0	0	0	0	0	0	0	0
Zif	173	211	194	181	357	239	206	198	131	73	140	235
Neurochondrin	1992	1706	2083	2496	4149	3144	1	2	11	0	4	8
CG15186	77	51	54	64	132	82	0	0	1	13	0	3
tRNA:Met-CAT-1-5	0	0	0	0	0	0	0	0	0	0	0	0
CG15185	5	1	5	8	8	6	0	0	21	0	0	0
dpr11	56	68	37	43	85	59	0	0	0	0	0	0
Pif2	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR46132	0	0	0	0	0	0	0	0	0	0	0	0
CG1137	0	0	0	0	0	0	0	0	0	0	0	0
CG2336	0	0	0	0	0	0	0	0	0	3	0	0
lncRNA:CR46131	0	0	0	0	0	0	0	0	0	0	0	0
CG1138	2	0	0	0	0	0	0	0	0	0	0	0
CG31482	3	0	0	0	0	0	0	0	0	0	0	0
glob2	1	4	0	1	1	1	0	0	0	0	0	0
sowi	0	0	0	0	0	0	0	0	0	0	0	0
CG15177	0	0	0	0	1	0	0	0	0	0	0	0
sunz	0	0	0	0	0	0	0	0	0	0	0	0
CG31286	1	1	0	0	1	0	0	0	0	0	2	0
Ass	560	458	599	778	1002	636	326	315	183	201	245	351
Taf1	744	767	703	519	1291	862	629	594	671	702	772	771
CG1307	504	579	545	552	982	669	814	883	720	629	719	853
twr	1888	2028	1972	2279	3459	2093	2220	2205	2144	1640	2165	2199
agt	21	22	39	33	49	29	11	21	16	35	59	48
lab	50	38	50	54	96	63	0	0	0	0	0	0
Edg84A	0	0	3	0	0	1	0	0	0	0	0	0
Ccp84Ag	32	11	8	4	1	2	0	0	0	0	0	0
Ccp84Af	23	54	8	2	4	2	0	0	0	0	0	0
Ccp84Ae	1	0	4	0	0	0	0	0	0	0	0	0
Ccp84Ad	17	47	16	32	46	44	0	0	0	0	0	0
Ccp84Ac	41	118	29	6	6	3	0	0	0	0	0	0
lncRNA:CR33938	4	3	4	2	3	0	0	0	0	0	0	0
Ccp84Ab	77	144	105	175	243	206	0	0	0	0	0	0
Ccp84Aa	18	32	12	22	51	30	0	0	0	0	0	0
pb	6	10	8	6	12	7	0	0	0	0	0	0
zen2	0	0	0	0	0	0	0	0	0	0	0	0
CG34297	0	0	0	0	0	0	0	0	0	0	0	0
zen	0	0	0	0	1	0	0	0	0	1	0	0
bcd	0	1	0	0	0	0	0	1	0	1	0	0
lncRNA:CR45593	0	4	1	0	3	1	0	0	0	0	0	0
Ama	62	71	42	56	97	52	1	1	8	0	0	0
lncRNA:CR44930	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR42721	0	0	0	0	0	1	0	0	0	0	0	0
mir-993	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43435	0	0	0	0	0	0	0	0	0	0	0	0
Dfd	13	19	19	15	33	10	0	0	0	0	0	0
lncRNA:CR42651	24	14	15	12	16	13	0	0	0	0	0	0
mir-10	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45915	2	0	2	0	4	1	0	0	0	0	0	0
tRNA:Lys-CTT-2-1Psi	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Lys-TTT-2-1	0	0	0	0	0	0	0	0	0	0	0	0
7SLRNA:CR42652	1	0	0	1	0	0	1	0	1	2	0	0
tRNA:Lys-TTT-2-2	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Lys-TTT-2-3	0	0	0	0	0	0	0	0	0	0	0	0
7SLRNA:CR32864	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Lys-TTT-2-4	0	0	0	0	0	0	0	0	0	0	0	0
Scr	46	62	53	45	111	77	0	0	0	0	1	0
lncRNA:CR45901	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45902	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45903	0	0	0	0	0	0	0	0	0	0	0	0
